Nome,Presenças no ano,Gênero,Total cota parlamentar usada (%),Cota disponivel gabinete
 JOSE ABILIO SILVA DE SANTANA,76.0,M,100,11167559.0
 PAULO SERGIO ABOU ANNI,87.0,M,100,11167559.0
 ACÁCIO DA SILVA FAVACHO NETO,63.0,M,100,11167559.0
 ADOLFO VIANA DE CASTRO NETO,76.0,M,,
 ADRIANO ANTÔNIO AVELAR,84.0,M,100,11167559.0
 AÉCIO NEVES DA CUNHA,84.0,M,100,11167559.0
 AELTON JOSÉ DE FREITAS,85.0,M,100,11167559.0
 AFONSO BANDEIRA FLORENCE,81.0,M,100,11167559.0
 JOSÉ ALFONSO EBERT HAMM,84.0,M,100,11167559.0
 AFONSO ANTUNES DA MOTTA,92.0,M,100,11167559.0
 AGUINALDO VELLOSO BORGES RIBEIRO,71.0,M,,
 AIRTON LUIZ FALEIRO,82.0,M,100,11167559.0
 ANTONIO JOSE AGUIAR ALBUQUERQUE,79.0,M,,
 ALAN RICK MIRANDA,70.0,M,100,11167559.0
 ALCEU MOREIRA DA SILVA,79.0,M,100,11167559.0
 ALCIDES RODRIGUES FILHO,88.0,M,100,11167559.0
 ALENCAR SANTANA BRAGA,81.0,M,100,11167559.0
 ALESSANDRO LUCCIOLA MOLON,93.0,M,100,11167559.0
 ALEX SPINELLI MANENTE,91.0,M,100,11167559.0
 ALEX MARCO SANTANA SOUSA,81.0,M,100,11167559.0
 ALEXANDRE FROTA DE ANDRADE,57.0,M,100,11167559.0
 ALEXANDRE LEITE DA SILVA,89.0,M,100,11167559.0
 ALEXANDRE ROCHA SANTOS PADILHA,92.0,M,100,11167559.0
 Alexis Joseph Steverlynck Fonteyne,89.0,M,100,11167559.0
 ALIEL MACHADO BARK,89.0,M,100,11167559.0
 ALTINEU CÔRTES FREITAS COUTINHO,71.0,M,100,11167559.0
 ALUISIO GUIMARAES MENDES FILHO,91.0,M,100,11167559.0
 AMARO ROCHA NASCIMENTO NETO,94.0,M,100,11167559.0
 ANDRE DOS SANTOS ABDON,,M,,
 ANDRÉ CARLOS ALVES DE PAULA FILHO,78.0,M,100,11167559.0
 ANDRÉ FERREIRA RODRIGUES,73.0,M,100,11167559.0
 ANDRÉ PEIXOTO FIGUEIREDO LIMA,89.0,M,100,11167559.0
 ANDRE LUIZ CARVALHO RIBEIRO,64.0,M,100,11167559.0
 ANDRE LUIS GASPAR JANONES,89.0,M,100,11167559.0
 ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,94.0,M,100,11167559.0
 ARLINDO CHIGNALIA JUNIOR,88.0,M,100,11167559.0
 ARNALDO CALIL PEREIRA JARDIM,87.0,M,100,11167559.0
 JOSE AROLDO SOUZA MARTINS,84.0,M,100,11167559.0
 ARTHUR CÉSAR PEREIRA DE LIRA,76.0,M,100,11167559.0
 ARTHUR DE OLIVEIRA MAIA DA SILVA,78.0,M,100,11167559.0
 ÁTILA SIDNEY LINS ALBUQUERQUE,72.0,M,100,11167559.0
 ÁTILA FREITAS LIRA,80.0,M,100,11167559.0
 AUGUSTO RODRIGUES COUTINHO DE MELO,89.0,M,100,11167559.0
 AUREO LIDIO MOREIRA RIBEIRO,89.0,M,100,11167559.0
 JOAO CARLOS BACELAR BATISTA,84.0,M,100,11167559.0
 LUIZ FELIPE BALEIA TENUTO ROSSI,81.0,M,100,11167559.0
 LUIZ BENES LEOCADIO DE ARAUJO,90.0,M,100,11167559.0
 JOSÉ ROBERTO OLIVEIRA FARO,84.0,M,100,11167559.0
 HUMBERTO REZENDE PEREIRA,89.0,M,100,11167559.0
 CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO,79.0,M,100,11167559.0
 ALCIBIO MESQUITA BIBO NUNES,92.0,M,100,11167559.0
 OLAVO BILAC PINTO NETO,82.0,M,,
 UBIRAJARA DO PINDARÉ ALMEIDA SOUSA,,M,,
 ELVINO JOSÉ BOHN GASS,92.0,M,100,11167559.0
